nb_tasks	U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	72c	24c	48c	48f	24f	72f
8	0.14712957215144093	0.21689053245226922	0.003763125000000002	0.10486687500000005	0.7945087500000001	0.685625	0.183125	0.0	0.1175	0.01375	0.0
16	0.09240964686726218	0.2090952199327058	0.02507601562500001	0.22108175000000013	0.9683762499999999	0.5615625	0.066875	0.0	0.226875	0.135625	0.0090625
32	0.018695408105584125	0.19624670050756365	0.08684980468750003	0.4111206249999999	0.9892937499999997	0.36875	0.00921875	0.0	0.24203125	0.323125	0.056875
64	-0.0006440768809805908	0.17267121172619754	0.21751966796875	0.7167964999999998	0.9945706249999998	0.229140625	0.0	0.002890625	0.434765625	0.224609375	0.10859375
132	-0.002030863210797707	0.14664514680143217	0.5718151953124998	0.9260030000000001	0.9964156249999998	0.14284090909090932	0.00037878787878787873	0.0	0.48901515151515157	0.12291666666666665	0.24484848484848482
