	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	2764.6204226783757	4189.577493169693	3275.4222087840526	4980.268832211326	5668.593308705502	9992.116853788302	14678.631031386632	19171.794735023876	23907.303717156836	27080.028722648487	25682.131531950716	29032.09267414981
runtime	0.72058	0.44398	0.72086	0.44366	0.3845	0.1925	0.12808	0.09614	0.07694	0.06792	0.077	0.06794
timestamp	(1838.14, 2558.72)	(6241.28, 6685.26)	(9446.56, 10167.42)	(13850.8, 14294.46)	(16867.8, 17252.3)	(19586.46, 19778.96)	(21344.62, 21472.7)	(22835.96, 22932.1)	(24154.36, 24231.3)	(25398.24, 25466.16)	(26589.32, 26666.32)	(27832.02, 27899.96)
energy	6574.029607772827	6138.292430877686	7791.698816299437	7291.502031326294	7192.594619750977	6347.492231369019	6204.128906249999	6082.4819412231445	6070.112228393554	6069.609317779541	6525.829622268677	6509.053241729735
