	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	2567.6416321619354	3870.68331592365	3052.4714725379813	4618.581170346338	5254.637832036063	9189.068931336848	13470.637405148633	17757.246361015747	22025.657460058745	24886.59916909088	23674.24865975914	26722.364501147913
runtime	0.72326	0.44522	0.72316	0.44514	0.38554	0.19298	0.12856	0.0966	0.07718	0.06816	0.07712	0.06822
timestamp	(2658.38, 3381.64)	(6784.98, 7230.2)	(10266.74, 10989.9)	(14394.2, 14839.34)	(17351.66, 17737.2)	(19878.76, 20071.74)	(21572.42, 21700.98)	(23031.66, 23128.26)	(24331.04, 24408.22)	(25565.78, 25633.94)	(26765.98, 26843.1)	(27999.44, 28067.66)
energy	6128.339206695557	5686.90856552124	7284.50339126587	6784.520233154297	6685.381130218506	5851.91152381897	5714.890977859497	5660.6549949646	5609.802801132201	5597.692977905273	6025.001586914062	6015.899030685425
