	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	2869.994298240451	4325.699175203388	3403.86203508394	5194.683909093721	5890.802407626777	10452.866913809854	15401.27092554241	20305.46494609306	24856.90141717593	28169.888328103458	26749.883060856504	30167.84688158268
runtime	0.72088	0.44358	0.72064	0.4436	0.38456	0.1923	0.12802	0.09616	0.0768	0.068	0.07702	0.06802
timestamp	(5122.22, 5843.1)	(8604.7, 9048.28)	(12731.98, 13452.62)	(16026.24, 16469.84)	(18804.3, 19188.86)	(20754.8, 20947.1)	(22310.1, 22438.12)	(23660.04, 23756.2)	(24923.44, 25000.24)	(26123.54, 26191.54)	(27357.38, 27434.4)	(28557.46, 28625.48)
energy	6827.440916061401	6332.019012451171	8094.765151977538	7604.393880844115	7475.711013793945	6633.284814834595	6506.513322830199	6443.492580413817	6299.7330951690665	6321.322940826416	6798.910778045654	6771.655918121337
