	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	3266.471665061283	4412.31662404445	3942.333352437235	6023.586483936819	6852.582630567209	12259.81786769585	15519.504135635298	20373.475048416327	23543.48487504816	26548.215696367166	25363.998956306834	28586.57290221779
runtime	0.72076	0.54562	0.72158	0.44384	0.38432	0.1922	0.1576	0.11798	0.10706	0.0944	0.10674	0.0942
timestamp	(3481.42, 4202.18)	(7329.96, 7875.58)	(11089.66, 11811.24)	(14939.14, 15382.98)	(17836.52, 18220.84)	(20171.16, 20363.36)	(21800.44, 21958.04)	(23227.8, 23345.78)	(24507.92, 24614.98)	(25733.32, 25827.72)	(26942.56, 27049.3)	(28167.52, 28261.72)
energy	7769.328987121581	7944.579048156737	9387.539371490479	8822.578462600708	8690.829036712645	7775.9120807647705	8071.383710861205	7932.086534500121	8317.866119384766	8270.300153732298	8934.265720367432	8886.422052383423
