	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
intensity	3313.392438799065	4593.851234745152	4017.3749786734033	6091.265324994126	6921.214502893934	12349.870988400167	16061.47875418358	21053.573787991856	23303.278076004044	26279.676225891177	25113.6989768492	28303.66135832922
runtime	0.72044	0.52966	0.72132	0.4439	0.38458	0.19208	0.15286	0.1147	0.1091	0.09614	0.109	0.09622
timestamp	(4302.04, 5022.48)	(7975.38, 8505.04)	(11910.98, 12632.3)	(15482.74, 15926.64)	(18320.3, 18704.88)	(20462.98, 20655.06)	(22057.4, 22210.26)	(23445.5, 23560.2)	(24714.64, 24823.74)	(25927.6, 26023.74)	(27148.78, 27257.78)	(28361.52, 28457.74)
energy	7877.431480407715	8029.491508483888	9562.782634735107	8922.911836624144	8783.81022262573	7828.138624191283	8102.0202198028555	7968.988214492797	8389.879205703737	8337.542638778687	9033.397521972656	8987.148376464844
