	24	48	72
intensity	11699.34893579034	21647.64702320099	29612.403979404367
runtime	0.00722	0.00384	0.00278
timestamp	(2020.84, 2028.06)	(3203.0, 3206.84)	(4381.4, 4384.18)
energy	278.7486877441406	274.31898307800293	271.66419410705566
