	24	48	72
intensity	15272.311817358932	25592.514117461524	32572.1919878865
runtime	0.26498	0.1634	0.14628
timestamp	(2125.02, 2390.0)	(5077.6, 5241.0)	(7627.1, 7773.38)
energy	13354.62871170044	13799.9954624176	15723.37880516052
