	24	48	72
intensity	12969.088068801251	24256.714694084818	35152.42749852557
runtime	1.10376	0.56614	0.39104
timestamp	(2725.36, 3829.12)	(9216.28, 9782.42)	(13468.52, 13859.56)
energy	47238.710134506226	45317.898307800286	45361.81732177735
