	24	48	72
intensity	15264.080069567503	25922.078402342428	33000.71999170312
runtime	0.26404	0.16258	0.14538
timestamp	(1665.64, 1929.68)	(4719.72, 4882.3)	(7286.42, 7431.8)
energy	13300.081415176392	13907.557971954344	15832.227418899538
