	24	48	72
intensity	12456.723496846791	21646.21706362124	29399.758230616182
runtime	0.01634	0.00918	0.00722
timestamp	(1904.58, 1920.92)	(3758.52, 3767.7)	(5481.04, 5488.26)
energy	671.6914443969727	655.7504997253419	700.4786396026611
