U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	72c	24c	48c	48f	24f	72f
0.11596769546358926	0.19852249379856302	0.01862109375	0.189875	0.983125	0.6875	0	0	0.1875	0.125	0
0.21565995046161132	0.25799738622759233	0.024390625	0.139575	0.94	0.625	0	0	0.3125	0.0625	0
0.14379884431707868	0.20270839738033433	0.03085546875	0.372675	0.981375	0.625	0	0	0.25	0.125	0
0.19907685505179545	0.2890281230264204	0.025015625	0.557675	0.92775	0.625	0.0625	0	0.1875	0.125	0
0.01391376694485016	0.165570195384342	0.0275	0.0841	0.999875	0.5	0.0625	0	0.1875	0.25	0
0.1005461028142606	0.2522945519485704	0.0218671875	0.42125	0.914	0.5625	0	0	0.3125	0.125	0
0.028581971132673294	0.215023105906415	0.01876953125	0.23455	0.996375	0.6875	0	0	0.0625	0.25	0
0.0012002580554820186	0.14733271432705022	0.03683203125	0.2106	0.9785	0.5625	0.0625	0	0.3125	0.0625	0
0.15246726749851652	0.2593354410234249	0.05454296875	0.138925	0.996375	0.4375	0.0625	0	0.25	0.25	0
0.0009186327017843507	0.18939700562413964	0.0520703125	0.267	0.993125	0.5625	0	0	0.3125	0.125	0
0.014923588218147515	0.1446232628243482	0.0225625	0.0	0.985625	0.5625	0.125	0	0.25	0.0625	0
0.06458973622583337	0.22731224689997034	0.0226015625	0.570025	0.948375	0.0625	0.5625	0	0.3125	0.0625	0
0.0006934997732787995	0.12787120936442622	0.0197578125	0.20235	0.948375	0.625	0.0625	0	0.25	0.0625	0
0.09470830852946827	0.20784330583848537	0.01896484375	0.36295	0.988625	0.6875	0	0	0.25	0.0625	0
0.04337250841089001	0.1995007476714662	0.03431640625	0.038025	0.99675	0.4375	0	0	0.1875	0.375	0
0.1220820076587477	0.17156302568899323	0.03083984375	0.088125	0.93825	0.625	0	0	0.3125	0.0625	0
0.2263266685475595	0.2808723590141585	0.05774609375	0.3442	0.982	0.75	0	0	0.1875	0.0625	0
0.16016871188048964	0.19676711964743648	0.02506640625	0.115625	0.968125	0.625	0	0	0.25	0.125	0
0.014889901536442866	0.12773906246098884	0.03092578125	0.1441	0.9735	0.5	0	0	0.25	0.25	0
