U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	72c	48c	24c	48f	24f	72f
-0.00036450780183749904	0.206191994109222	0.2395703125	0.66635	0.999125	0.28125	0.015625	0	0.375	0.296875	0.03125
-0.000734260504567419	0.15911625199761734	0.20992578125	0.77575	0.992875	0.203125	0	0	0.15625	0.5625	0.078125
-0.0007901386879066659	0.19504599549129026	0.19443359375	0.9562	0.995	0.265625	0	0	0.515625	0.15625	0.0625
-0.00041163150995086574	0.17084145984960236	0.2298125	0.9857	0.99975	0.25	0	0	0.53125	0.15625	0.0625
-0.0004232155203389001	0.18058049704267223	0.1836640625	0.585525	0.9995	0.25	0	0	0.484375	0.1875	0.078125
-0.0008994113189654811	0.1635685196551233	0.1919921875	0.839	0.999375	0.203125	0	0	0.65625	0.078125	0.0625
-0.001123857548562544	0.16843377858950026	0.25035546875	0.647	0.982875	0.25	0	0	0.625	0.046875	0.078125
-0.0008022303090929955	0.2356930828823954	0.2115546875	0.825675	0.9965	0.265625	0	0	0.28125	0.390625	0.0625
-0.0010819516285987905	0.17520115546062706	0.2667890625	0.90935	0.9995	0.203125	0	0	0.609375	0.140625	0.046875
-0.0006634365968053176	0.18588006392948783	0.20448828125	0.86145	0.996875	0.25	0	0	0.546875	0.03125	0.171875
1.7354362743656788e-05	0.21639202878941588	0.1664609375	0.8823	0.997125	0.25	0	0	0.515625	0.1875	0.046875
0.0015417802546619456	0.23406594301675746	0.1856171875	0.7216	0.996125	0.265625	0	0	0.40625	0.328125	0
-0.0009547654208140996	0.12675498021715687	0.2118984375	0.132425	0.991625	0.203125	0	0	0.484375	0.265625	0.046875
-0.0004508746209173198	0.16532600530425937	0.2644921875	0.893875	0.99425	0.28125	0	0	0.515625	0.15625	0.046875
-0.001077218481725915	0.17655253193665935	0.286453125	0.966175	0.993125	0.234375	0	0	0.53125	0.140625	0.09375
-0.0009643706419947989	0.18625049130694865	0.27232421875	0.664425	0.995875	0.171875	0	0	0.609375	0.09375	0.125
-0.000390612308029481	0.15165036649245703	0.19484375	0.542675	0.988	0.3125	0	0	0.375	0.234375	0.078125
-0.0006114162323622558	0.15214898565476723	0.19292578125	0.778675	0.995125	0.296875	0	0	0.484375	0.09375	0.125
-0.0006874309634902064	0.16924433282324985	0.18866796875	0.895025	0.984125	0.125	0	0	0.71875	0.109375	0.046875
-0.0009145961667043837	0.19165956525978908	0.23623828125	0.6469	0.9985	0.234375	0	0	0.21875	0.46875	0.078125
-0.0010530990263484278	0.16793064573410788	0.22733984375	0.94295	0.99825	0.25	0	0	0.578125	0.0625	0.109375
