U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	72c	24c	48c	48f	24f	72f
0.03553099530679738	0.15458767258329179	0.0	0.1527	0.778875	0.375	0.625	0	0	0	0
0.1603963012989983	0.2237425293429712	0.0	0.15095	0.673375	0.625	0.375	0	0	0	0
0.01016238544198406	0.10724324018365326	0.00368359375	0.0	0.59275	0.625	0	0	0.25	0.125	0
2.385153187359338e-05	0.18068903050096422	0.01178515625	0.0	0.538125	0.25	0.375	0	0.25	0.125	0
0.0024255166574696225	0.21803611264610656	0.01135546875	0.181225	0.4595	0.5	0.125	0	0.25	0.125	0
0.3590269327154423	0.32172906600693957	0.0	0.134	0.7195	0.875	0.125	0	0	0	0
0.11178796130868505	0.11600861246886475	0.0	0.0612	0.852125	0.875	0.125	0	0	0	0
0.1626703171156945	0.2033412663102482	0.0	0.3925	0.838375	0.875	0.125	0	0	0	0
0.04119127586695419	0.13894605286977435	0.0	0.0	0.699875	0.75	0.25	0	0	0	0
0.018860137021040592	0.13984763477650713	0.00348828125	0.01645	0.995375	0.625	0.125	0	0.25	0	0
0.06537296391827746	0.21568891753008504	0.0	0.131	0.73325	0.75	0.25	0	0	0	0
0.003878561737524305	0.1395739912898382	0.00513671875	0.0	0.408125	0.625	0.125	0	0.25	0	0
0.3093843318235723	0.3164976660575903	0.00557421875	0.245725	0.835	0.875	0	0	0.125	0	0
0.3351438508363122	0.27740466567925914	0.0	0.0815	0.583625	1.0	0	0	0	0	0
0.029551438935221958	0.15484634456121152	0.00036328125	0.0	0.6755	0.625	0.25	0	0.125	0	0
0.06966229519035735	0.06268674580110672	0.0055078125	0.0	0.76275	0.75	0.125	0	0.125	0	0
0.3145558838425131	0.37849388312935806	0.00903515625	0.43345	0.879375	0.75	0	0	0.25	0	0
0.25382287804016174	0.2828297069043595	0.0	0.209925	0.938	0.875	0.125	0	0	0	0
0.05832403478000246	0.21275042059016855	0.0002734375	0.0	0.99275	0.25	0.625	0	0.125	0	0
0.26445262460872604	0.2724611969290394	0.0	0.285975	0.793375	0.875	0.125	0	0	0	0
0.17039809880317955	0.2761144091396352	0.0053359375	0.117	0.981625	0.875	0	0	0.125	0	0
0.14247613914652413	0.16580780186611327	0.001453125	0.0	0.976125	0.875	0	0	0.125	0	0
0.1763501086310267	0.1645702503333895	0.0	0.0	0.776875	0.875	0.125	0	0	0	0
0.19152641113735813	0.1683180316604213	0.0	0.169475	0.77975	1.0	0	0	0	0	0
0.025013933758333596	0.07509116220090638	0.0052265625	0.0	0.77375	0.75	0.125	0	0.125	0	0
0.1453014247198689	0.20799935803602337	0.0013046875	0.0	0.946	0.625	0.25	0	0.125	0	0
0.2278898580970367	0.24217886236834668	0.0055	0.0358	0.642875	0.75	0	0	0.25	0	0
0.36603410273363196	0.4034873394157678	0.00080859375	0.120325	0.665375	0.875	0	0	0.125	0	0
0.34336897919287945	0.36859643701998984	0.00300390625	0.29785	0.808125	0.75	0.125	0	0.125	0	0
0.0630651378889221	0.16539726639495383	0.001171875	0.168875	0.58275	0.875	0	0	0.125	0	0
0.04815041384619671	0.2007913219419113	0.0023515625	0.19835	0.9795	0.5	0.375	0	0.125	0	0
0.10178944414877669	0.14734664999959265	0.001765625	0.0	0.736125	0.625	0.25	0	0.125	0	0
0.029509738838960187	0.17453032854606695	0.00630078125	0.185225	0.99475	0.75	0.125	0	0.125	0	0
0.3240289181414665	0.27386338622394685	0.0027890625	0.2715	0.928625	0.875	0	0	0.125	0	0
0.17571669308584312	0.24812684080911318	0.007265625	0.1407	0.944375	0.625	0	0	0.125	0.25	0
0.062047454075740915	0.19180961520033277	0.01106640625	0.27845	0.87525	0.75	0	0	0.25	0	0
0.19096225809493245	0.24290658036311136	0.0	0.0	0.83	0.625	0.375	0	0	0	0
0.16340241626559285	0.17207965071465475	0.00370703125	0.0	0.740625	0.75	0.125	0	0.125	0	0
0.24430804873577025	0.26439999958350585	0.0	0.1495	0.995375	0.875	0.125	0	0	0	0
0.006194191058426346	0.1194773323075119	0.00545703125	0.0	0.908125	0.625	0.25	0	0.125	0	0
0.12400371942103712	0.20496889437665036	0.0	0.109775	0.666875	0.75	0.25	0	0	0	0
0.04385626926691489	0.1133665077823107	0.00139453125	0.2621	0.984375	0.625	0.25	0	0.125	0	0
0.003982775962304351	0.1442767761904194	0.005015625	0.0	0.662875	0.875	0	0	0.125	0	0
0.18741917823875887	0.24246408041744516	0.0015078125	0.032425	0.476625	0.75	0.125	0	0.125	0	0
0.15749487873704968	0.24225855248509254	0.005390625	0.191325	0.894875	0.875	0	0	0.125	0	0
0.30806994684945227	0.2925176890530328	0.011984375	0.064425	0.8195	0.625	0.125	0	0.125	0.125	0
0.2919972568554801	0.25761420176355143	0.0	0.082825	0.525125	1.0	0	0	0	0	0
0.05834357065586099	0.21579386002100684	0.00302734375	0.14625	0.86375	0.625	0.125	0	0.25	0	0
0.23947664722859552	0.2819706627690174	0.0036328125	0.14235	0.62275	0.125	0.75	0	0.125	0	0
0.06855678142363412	0.1641051865955943	0.00440625	0.1863	0.941625	0.875	0	0	0.125	0	0
0.028284326799128748	0.1777003272592627	0.00596875	0.0	0.947625	0.75	0.125	0	0.125	0	0
0.09489857150000823	0.25075761230602384	0.0049765625	0.136075	0.670125	0.625	0.25	0	0.125	0	0
0.12484220679355314	0.16430421743859097	0.0063203125	0.0	0.654875	0.75	0.125	0	0.125	0	0
0.01623356134616864	0.11489428130170991	0.0055703125	0.1303	0.66575	0.125	0.625	0	0.125	0.125	0
0.18573986018337735	0.2756758535985842	0.0	0.259225	0.825125	0.875	0.125	0	0	0	0
0.0013932656077456085	0.17270476984560845	0.0107421875	0.0	0.37125	0.625	0	0	0.25	0.125	0
0.28646779579224924	0.2728725801213237	0.0	0.12365	0.603125	0.875	0.125	0	0	0	0
0.03783915936263197	0.1754053312356782	0.00470703125	0.0	0.461375	0.625	0.125	0	0.125	0.125	0
0.46214459469596403	0.4203223544908373	0.0	0.27015	0.820125	0.875	0.125	0	0	0	0
0.33009830119138317	0.3034521977841074	0.0	0.207175	0.908	0.875	0.125	0	0	0	0
0.27421791364929315	0.24575371530124854	0.0	0.01715	0.9235	1.0	0	0	0	0	0
0.31048079538223855	0.3420481523758671	0.0	0.034375	0.8725	0.375	0.625	0	0	0	0
0.3419893421522199	0.29018565109475675	0.0	0.21475	0.94075	1.0	0	0	0	0	0
0.3281209691310349	0.30019420285722564	0.0	0.09705	0.981625	0.875	0.125	0	0	0	0
0.03879177301473038	0.1356630615721928	0.0	0.0	0.878125	0.75	0.25	0	0	0	0
0.0068244997170596325	0.10538456428331226	0.0088125	0.0	0.816875	0.75	0	0	0.25	0	0
0.0004667911443052077	0.13609292490056518	0.015046875	0.0	0.2795	0.125	0.375	0	0.5	0	0
0.2347008349725499	0.2427070372614859	0.0028828125	0.010975	0.924	0.125	0.75	0	0.125	0	0
