	24	48	72
intensity	12305.751819549485	23999.257007462347	35494.955399098624
runtime	0.33708	0.16876	0.11266
timestamp	(2185.64, 2522.72)	(3880.44, 4049.2)	(5381.0, 5493.66)
energy	13688.475317001343	13365.378221511839	13196.243528366087
