	24	48	72
intensity	13658.29965377762	23685.547732701652	31501.077005645166
runtime	0.94462	0.5515	0.43392
timestamp	(742.26, 1686.88)	(3806.92, 4358.42)	(6006.38, 6440.3)
energy	42576.279962539666	43106.51259613037	45107.52620315551
