	24	48	72
intensity	12112.74827389945	23487.103079379976	34845.6205039571
runtime	0.9086	0.45402	0.30288
timestamp	(2215.02, 3123.62)	(4832.96, 5286.98)	(6884.52, 7187.4)
energy	36318.62216949463	35189.927982330315	34828.337076187134
