	24	48	72
intensity	12793.517051215898	22877.335928775126	31037.306578916487
runtime	0.05426	0.03134	0.02538
timestamp	(2568.12, 2622.38)	(4274.86, 4306.2)	(5944.6, 5969.98)
energy	2290.781576156616	2366.0198364257812	2599.4985752105713
