	24	48	72
intensity	10687.078338071524	19792.876460335472	26835.30220618615
runtime	0.00664	0.00352	0.0026
timestamp	(2076.44, 2083.08)	(3258.0, 3261.52)	(4435.72, 4438.32)
energy	234.1752605438232	229.91405296325684	230.24689292907712
