	24	48	72
intensity	14000.0	23476.0	31550.0
runtime	0.20276	0.12174	0.09486
timestamp	(3156.92, 3359.68)	(5406.92, 5528.66)	(7475.14, 7570.0)
energy	9.368	9.431	9.876
