	24	48	72
intensity	11407.0	22891.0	33848.0
runtime	0.20246	0.10142	0.06782
timestamp	(3554.86, 3757.32)	(5723.9, 5825.32)	(7765.2, 7833.02)
energy	7.621	7.661	7.575
