U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	72	48	24	24	48	72
0.02836872395710348	0.21883649869852123	0.005953125	0.21825	0.73975	0.5	0.375	0	0.125	0	0
0.0164702744675324	0.016952380639575052	0.0051328125	0.0	0.763625	0.75	0	0	0.125	0.125	0
0.14717678883542534	0.26140056150548047	0.00707421875	0.184175	0.521125	0.75	0	0	0.125	0.125	0
0.041398099288316746	0.16694483027659135	0.00751953125	0.158875	0.55	0.625	0.125	0	0.25	0	0
0.001138433045579061	0.15521264575210983	0.0405234375	0.0	0.28825	0.5	0	0	0.375	0.125	0
0.009775857798776825	0.17064589324806226	0.00328515625	0.1381	0.6465	0.75	0.125	0	0.125	0	0
-2.6195964868921955e-05	0.16095980908451055	0.0076640625	0.1381	0.506375	0.625	0.125	0	0.125	0.125	0
0.2037073564512121	0.2324490858419658	0.01346484375	0.31655	0.974875	0.625	0	0	0.25	0.125	0
0.1512242098754358	0.22124897841933447	0.022984375	0.258375	0.961125	0.125	0.5	0	0.125	0.25	0
0.06590768519142445	0.17839900654836446	0.00064453125	0.0668	0.8545	0.75	0.125	0	0.125	0	0
0.027368430075533787	0.17420726545643223	0.010625	0.0	0.869125	0.625	0	0	0.25	0.125	0
0.057304965327081014	0.21874113597360917	0.00276171875	0.0	0.714125	0.5	0.25	0	0.25	0	0
0.057304965327081014	0.21874113597360917	0.00276171875	0.0	0.714125	0.5	0.25	0	0.25	0	0
0.057304965327081014	0.21874113597360917	0.00276171875	0.0	0.714125	0.5	0.25	0	0.25	0	0
0.2675056743249051	0.22864350938499192	0.0	0.246975	0.581375	1.0	0	0	0	0	0
0.17336526063000784	0.20892215699166594	0.006171875	0.12475	0.995	0.75	0	0	0.125	0.125	0
0.2675056743249051	0.22864350938499192	0.0	0.246975	0.581375	1.0	0	0	0	0	0
0.19129167456128615	0.24141486417314806	0.00501171875	0.0438	0.980375	0.75	0	0	0.25	0	0
0.19129167456128615	0.24141486417314806	0.00501171875	0.0438	0.980375	0.75	0	0	0.25	0	0
0.19129167456128615	0.24141486417314806	0.00501171875	0.0438	0.980375	0.75	0	0	0.25	0	0
0.5031932975756609	0.4305262806157236	0.00315234375	0.467625	0.706125	0.875	0	0	0.125	0	0
0.3030273816793512	0.3633355224760133	0.04778125	0.25285	0.351875	0.5	0	0	0.25	0.25	0
0.5031932975756609	0.4305262806157236	0.00315234375	0.467625	0.706125	0.875	0	0	0.125	0	0
0.10212825302563766	0.17905208564572944	0.00381640625	0.0	0.771875	0.25	0.625	0	0.125	0	0
0.10212825302563766	0.17905208564572944	0.00381640625	0.0	0.771875	0.25	0.625	0	0.125	0	0
0.10212825302563766	0.17905208564572944	0.00381640625	0.0	0.771875	0.25	0.625	0	0.125	0	0
0.005941645657240278	0.09082582081329753	0.00412890625	0.1598	0.71475	0.75	0.125	0	0.125	0	0
0.012342905587766248	0.0832015343010193	0.0067734375	0.1598	0.630125	0.75	0	0	0.25	0	0
