U_gain	E_gain	170c	150c	16_RANGE2c	26_RANGE2c	16c	26c	30c	60c	90c	120c	150_BOOSTc	170_BOOSTc	26_RANGE2f	170f	150f	120f	170_BOOSTf	16_RANGE2f	16f	26f	30f	60f	90f	150_BOOSTf
-0.0020186556949989207	0.40562007719375237	0.12878787878787878	0.06060606060606061	0	0	0	0	0	0	0	0	0	0	0.3560606060606061	0.3181818181818182	0.10606060606060606	0.022727272727272728	0.007575757575757576	0	0	0	0	0	0	0
-0.0023720164430956377	0.24361040162839762	0.14393939393939395	0.007575757575757576	0	0	0	0	0	0	0	0	0	0	0.4772727272727273	0.2196969696969697	0.15151515151515152	0	0	0	0	0	0	0	0	0
-0.0020063268325336858	0.20752370098184642	0.045454545454545456	0.09848484848484848	0	0	0	0	0	0	0	0	0	0	0.4393939393939394	0.19696969696969696	0.21212121212121213	0.007575757575757576	0	0	0	0	0	0	0	0
-0.0021058003100980064	0.27272512901244494	0.08333333333333333	0.030303030303030304	0	0	0	0	0	0	0	0	0	0	0.49242424242424243	0.12878787878787878	0.25757575757575757	0.007575757575757576	0	0	0	0	0	0	0	0
-0.0017260585262530834	0.2678009292379012	0.09848484848484848	0.06818181818181818	0	0	0	0	0	0	0	0	0	0	0.2803030303030303	0.4166666666666667	0.12121212121212122	0.007575757575757576	0.007575757575757576	0	0	0	0	0	0	0
-0.0018936981117727003	0.22949334018955145	0.11363636363636363	0.06818181818181818	0	0	0	0	0	0	0	0	0	0	0.4318181818181818	0.25757575757575757	0.12121212121212122	0.007575757575757576	0	0	0	0	0	0	0	0
-0.0016713458653198564	0.3386820085696513	0.09090909090909091	0.045454545454545456	0	0	0	0	0	0	0	0	0	0	0.2803030303030303	0.4166666666666667	0.14393939393939395	0.022727272727272728	0	0	0	0	0	0	0	0
-0.0020503522806427023	0.2511949491398624	0.11363636363636363	0.03787878787878788	0	0	0	0	0	0	0	0	0	0	0.25757575757575757	0.4696969696969697	0.11363636363636363	0.007575757575757576	0	0	0	0	0	0	0	0
-0.0022984083998124293	0.2990781716623362	0.06060606060606061	0.09848484848484848	0	0	0	0	0	0	0	0	0	0	0.4318181818181818	0.25	0.007575757575757576	0.12878787878787878	0.015151515151515152	0.007575757575757576	0	0	0	0	0	0
-0.002264910251439935	0.2565505720615426	0.13636363636363635	0.015151515151515152	0	0	0	0	0	0	0	0	0	0	0.2196969696969697	0.5075757575757576	0.09848484848484848	0.015151515151515152	0.007575757575757576	0	0	0	0	0	0	0
