U_gain	E_gain	f_rat	r_rat	c_rat	72	24	48	48	72	24
-0.0	0.21	0.12	0.19	0.99	0.34	0	0	0.28	0.12	0.25
0.02	0.21	0.08	0.64	1.0	0.38	0	0	0.41	0.22	0
