U_gain	E_gain	flash_ratio	ram_ratio	ccm_ratio	48	72	24	24	48	72
0.0009205778823970062	0.17586148770406534	0.02033984375	0.05755	0.985	0.0625	0.5625	0	0.125	0.25	0
0.06074632932782344	0.19533765462963712	0.0128984375	0.280075	0.967	0.625	0.125	0	0.0625	0.1875	0
0.09232560728546099	0.2290495166115504	0.04524609375	0.20585	0.980125	0.625	0	0	0.25	0.125	0
0.3277633025334445	0.3347548182291412	0.0220703125	0.76445	0.976	0.625	0	0	0.3125	0.0625	0
0.21646567401499475	0.2872327532918955	0.00178515625	0.0	1.6785	0.5625	0.375	0	0.0625	0	0
0.046699346275516695	0.2702903923061849	0.01194140625	0.488925	1.0	0.5625	0.1875	0	0.1875	0.0625	0
0.04619922918461066	0.27098148414772705	0.009578125	0.0	1.075625	0.5625	0.25	0	0.1875	0	0
0.2371386199474191	0.30819866190314055	0.03634375	0.3786	0.959375	0.5625	0.125	0	0.25	0.0625	0
0.27441810322414584	0.3159353061268619	0.0025390625	0.0	1.65575	0.875	0.0625	0	0.0625	0	0
0.1214040316320395	0.2351440461313466	0.031609375	0.18625	0.98625	0.5625	0	0	0.25	0.1875	0
0.29732209736118276	0.2638682709835721	0.0	0.0	1.99775	0.125	0.875	0	0	0	0
0.13522192739952504	0.20888389730586981	0.01971875	0.526525	0.981375	0.5625	0	0	0.375	0.0625	0
0.183020117845285	0.22169778733070644	0.0	0.0	1.612375	0.1875	0.8125	0	0	0	0
0.10500438162701249	0.2720957656987523	0.03322265625	0.492375	0.976875	0.5	0	0	0.25	0.25	0
0.15215080734652778	0.27939731993865724	0.01128515625	0.0	1.678875	0.1875	0.6875	0	0.125	0	0
0.05461067562434451	0.20071147858161056	0.01733984375	0.33185	0.899	0.5625	0.1875	0	0.25	0	0
0.0002448199037629803	0.11746099429304384	0.00314453125	0.254125	1.25825	0.3125	0.5625	0	0.125	0	0
0.10613378918128075	0.28416543522984866	0.0264453125	0.43235	0.96925	0.5625	0.0625	0	0.0625	0.3125	0
-0.00020781350185174812	0.2007155183266819	0.00287109375	0.149075	1.723625	0.5625	0.375	0	0.0625	0	0
4.723114366088966e-05	0.11612072195623985	0.027296875	0.099225	0.992625	0.5625	0.0625	0	0.1875	0.0625	0.125
0.008342378689206299	0.17142317259502896	0.00884375	0.0374	0.978875	0.5	0.25	0	0.25	0	0
0.338614882810114	0.33905419665182507	0.01548828125	0.31185	0.925625	0.75	0	0	0.125	0.125	0
0.012335017704352297	0.14602187677854356	0.031796875	0.0	0.995125	0.4375	0.0625	0	0.375	0.125	0
-2.5837151489889765e-05	0.16981585953945938	0.02996484375	0.139375	0.927	0.4375	0.0625	0	0.4375	0.0625	0
0.0008923540923270492	0.08684693515193119	0.0	0.0	1.885875	0.5	0.5	0	0	0	0
0.006434981148148617	0.1674411184660345	0.01344140625	0.52455	0.9885	0.5625	0	0	0.4375	0	0
0.00017861716732467655	0.04910687154197613	0.0052734375	0.16595	1.249875	0.625	0.3125	0	0.0625	0	0
0.24845254358509491	0.2476629807043337	0.02006640625	0.1584	0.972125	0.6875	0	0	0.1875	0.125	0
0.24754881742622797	0.2668907599252931	0.0284140625	0.1581	0.98625	0.625	0	0	0.3125	0.0625	0
0.0020685245808189025	0.12813538575943978	0.0053125	0.0	1.67025	0.625	0.3125	0	0.0625	0	0
0.000770842619896366	0.07048972314066367	0.02421875	0.038525	0.929375	0.6875	0	0	0.3125	0	0
0.0001595668039126081	0.044768022970881005	0.0	0.0	1.704375	0.75	0.25	0	0	0	0
0.0019116126419654773	0.1504170195884961	0.0236171875	0.2889	0.9965	0.5	0.125	0	0.125	0.25	0
7.461655524655101e-05	0.05871094964464353	0.0	0.0	1.75225	0.3125	0.6875	0	0	0	0
0.14999577238522024	0.2705305650893873	0.024140625	0.405975	0.98825	0.5625	0	0	0.1875	0.25	0
0.0011825412609247528	0.15859218251325835	0.0089609375	0.076375	1.474	0.375	0.5	0	0.125	0	0
0.12038985653836624	0.1969559489775169	0.0245859375	0.09375	0.998	0.625	0	0	0.1875	0.1875	0
0.0062764881135731355	0.20987170421080703	0.01309375	0.184425	0.97475	0.25	0.5	0	0.125	0.125	0
0.0017240098137409185	0.15249228828914363	0.0	0.0	2.315875	0.4375	0.5	0.0625	0	0	0
0.0004923065490706179	0.1073206598553064	0.01975	0.0	0.972625	0.4375	0.1875	0	0.375	0	0
0.0013190099993963015	0.006565835753706777	0.0	0.0	1.604625	0.75	0.25	0	0	0	0
0.13506463005436276	0.20811620184480695	0.01780078125	0.128475	0.986	0.625	0	0	0.1875	0.1875	0
0.17410526380128458	0.2755222765673943	0.03933203125	0.39485	0.998	0.5	0	0	0.1875	0.3125	0
-6.167768298611547e-05	0.1788447604103845	0.0	0.0	4.230875	0.375	0.5	0.125	0	0	0
0.015514891326696407	0.2245155520066641	0.03658203125	0.1227	0.983625	0.5625	0	0	0.25	0.1875	0
0.00042113435575170954	0.11775876541802958	0.0498203125	0.227625	0.035375	0	0	0	0.5625	0.375	0.0625
0.03699694247821295	0.16900331671817398	0.02498046875	0.407175	0.9595	0.5625	0.0625	0	0.25	0.125	0
0.00014456799455121882	0.06029310831128023	0.0540546875	0.407175	0.029125	0.125	0	0	0.5	0.375	0
0.21242059548695963	0.31394575929402757	0.0240390625	0.492975	0.997375	0.5	0.0625	0	0.0625	0.1875	0.1875
-6.751876861041515e-05	0.1902072468490621	0.0528203125	0.492975	0.076375	0.0625	0	0	0.375	0.375	0.1875
0.0021139905093916994	0.2086034809150987	0.03306640625	0.458575	0.99225	0.4375	0	0	0.4375	0.125	0
-0.00025961426242959566	0.1041139647401852	0.06215625	0.458575	0.061375	0.0625	0	0	0.4375	0.3125	0.1875
0.03137704820413078	0.20187165895552406	0.047703125	0.0	0.9955	0.5625	0	0	0.375	0.0625	0
0.0031155529530863205	0.07067011647876488	0.0562421875	0.12835	0.0805	0.125	0	0	0.3125	0.0625	0.5
0.02497215345687178	0.2603895319582412	0.0261171875	0.33455	0.988375	0.5	0	0	0.25	0.25	0
0.0011518915741217694	0.158075320275242	0.05487109375	0.33455	0.06825	0.0625	0	0	0.0625	0.375	0.5
0.048960507509730015	0.1846035320824396	0.028	0.205925	0.971375	0.625	0	0	0.1875	0.1875	0
0.00044789423027747483	0.04854519346083897	0.056078125	0.205925	0.072875	0.125	0	0	0.5	0.375	0
0.001460916088542618	0.14963897641084042	0.03166015625	0.0147	0.993625	0.5625	0	0	0.125	0.1875	0.125
